base_path,title
/guidance/immigration-rules/immigration-rules-appendix-overseas-domestic-worker,Immigration Rules Appendix Overseas Domestic Worker
/guidance/immigration-rules/immigration-rules-appendix-domestic-workers-in-a-private-household,Immigration Rules Appendix Domestic Workers in a Private Household 
/guidance/immigration-rules/immigration-rules-appendix-domestic-worker-who-is-a-victim-of-modern-slavery,Immigration Rules Appendix Domestic Worker who is a Victim of Modern Slavery 
/guidance/immigration-rules/immigration-rules-appendix-domestic-worker-statement,Immigration Rules Appendix Domestic Worker Statement 
/guidance/immigration-rules/immigration-rules-appendix-temporary-work-seasonal-worker,Immigration Rules Appendix Temporary Work - Seasonal Worker
/guidance/immigration-rules/immigration-rules-appendix-youth-mobility-scheme,Immigration Rules Appendix Youth Mobility Scheme
/guidance/immigration-rules/immigration-rules-appendix-youth-mobility-scheme-eligible-nationals,Immigration Rules Appendix Youth Mobility Scheme: eligible nationals
/guidance/immigration-rules/immigration-rules-appendix-temporary-work-creative-worker,Immigration Rules Appendix Temporary Work – Creative Worker
/guidance/immigration-rules/immigration-rules-appendix-temporary-work-religious-worker,Immigration Rules Appendix Temporary Work – Religious Worker
/guidance/immigration-rules/immigration-rules-appendix-temporary-work-charity-worker,Immigration Rules Appendix Temporary Work - Charity Worker
/guidance/immigration-rules/immigration-rules-appendix-temporary-work-international-agreement,Immigration Rules Appendix Temporary Work - International Agreement
/guidance/immigration-rules/immigration-rules-appendix-temporary-work-government-authorised-exchange,Immigration Rules Appendix Temporary Work – Government Authorised Exchange
/guidance/immigration-rules/immigration-rules-appendix-government-authorised-exchange-schemes,Immigration Rules Appendix Government Authorised Exchange schemes
/guidance/immigration-rules/immigration-rules-appendix-t5-creative-workers-codes-of-practice,Immigration Rules Appendix Creative Worker Codes of Practice
/guidance/immigration-rules/immigration-rules-appendix-hong-kong-british-national-overseas,Immigration Rules Appendix Hong Kong British National (Overseas)
/guidance/immigration-rules/immigration-rules-appendix-ukraine-scheme,Immigration Rules Appendix Ukraine Scheme
